,Unnamed: 0,id,thread_number,timestamp,text,retweets,likes,replies,url,full_text
10,10,998972530928115712,Thread 1,1527008586,"11) 'Broadcasters may not intentionally distort the news. The FCC states that ""rigging or slanting the news is a moÃ¢?Â¦ https://t.co/3WqDWZlC3B",207,518,9,https://t.co/3WqDWZlC3B,"11)
'Broadcasters may not intentionally distort the news. The FCC states that ""rigging or slanting the news is a most heinous act against the public interest.""'"
11,11,998972603661455361,Thread 1,1527008603,"12) 'The FCC may act only when it has received documented evidence, such as testimony from persons who have directÃ¢?Â¦ https://t.co/pPSs4AlZl2",121,340,10,https://t.co/pPSs4AlZl2,"12)
'The FCC may act only when it has received documented evidence, such as testimony from persons who have direct personal knowledge of an intentional falsification of the news. Without such documented evidence, the FCC generally cannot intervene.'"
12,12,998973228503764993,Thread 1,1527008752,"13) Assuming the news I received is true, it would appear that either there is a whistleblower, or the FCC may be aÃ¢?Â¦ https://t.co/gSwBFAxjQe",177,421,21,https://t.co/gSwBFAxjQe,"13)
Assuming the news I received is true, it would appear that either there is a whistleblower, or the FCC may be acting in regards to this story from earlier
thefederalist.com/2018/05/21/bre…"
13,13,998974774083817472,Thread 1,1527009120,"14) Also happened today, this one documented: Pruitt kicked the AP and CNN out of an EPA conference. https://t.co/gFuAMMne1n",262,618,37,https://t.co/gFuAMMne1n,"14)
Also happened today, this one documented: Pruitt kicked the AP and CNN out of an EPA conference.
nbcnews.com/politics/white…"
14,14,998985720080556034,Thread 1,1527011730,"15) Thanks Truth for linking this to me. https://t.co/kk04i24SU6

""Rounding out our June meeting will be an enforceÃ¢?Â¦ https://t.co/nHipIf5zgN",75,210,5,"https://t.co/kk04i24SU6

""Rounding out our June meeting will be an enforceÃ¢?Â¦ ","15)
Thanks Truth for linking this to me.
External Tweet loading...
If nothing shows, it may have been deleted
by @_j4son_
view original on Twitter
""Rounding out our June meeting will be an enforcement item, which I can’t currently disclose. Think of it as the surprise teaser at the conclusion of every Marvel movie.""
GODDAMN YOU
@AjitPaiFCC
BLUEBALLING ME"
15,15,998985999022772225,Thread 1,1527011797,"16) June 7th. FUUUUUUCK.

https://t.co/r7QK1PQXfd",35,153,7,https://t.co/r7QK1PQXfd,"16)
June 7th. FUUUUUUCK.
fcc.gov/news-events/ev…"
16,16,998986062901972992,Thread 1,1527011812,17) I am still working to try to confirm this everyone!,36,222,19,,"17)
I am still working to try to confirm this everyone!"
17,17,998995611650347008,Thread 1,1527014088,18) NOTE: I have NO IDEA if the FCC meeting has ANYTHING TO DO WITH THIS. Ajit Pai may be puffing up the meeting beÃ¢?Â¦ https://t.co/sS5m7msvd5,47,251,19,https://t.co/sS5m7msvd5,"18)
NOTE: I have NO IDEA if the FCC meeting has ANYTHING TO DO WITH THIS. Ajit Pai may be puffing up the meeting because its Ajit Pai. The dude is the trolliest troll to ever troll an ocean of trolls."
18,18,998660806005768192,Thread 2,1526934265,"1/ I became ""CEO"" at 20. I dropped out of college. I had only interned somewhere prev. Looking back, I couldn't imaÃ¢?Â¦ https://t.co/xXoEpEFtcS",2425,7312,91,https://t.co/xXoEpEFtcS,"1/
I became ""CEO"" at 20. I dropped out of college. I had only interned somewhere prev. Looking back, I couldn't imagine the journey that would occur from writing code all day to scaling to 300 people. I got lucky, I screwed up a lot, & had a lot of help. Here's what I learned..."
19,19,998660812330881024,Thread 2,1526934266,2/ Giving up control is hard &amp; it was the hardest for me. I felt like everything at the beginning was important. YoÃ¢?Â¦ https://t.co/a1Or8bQZam,155,806,3,https://t.co/a1Or8bQZam,"2/
Giving up control is hard & it was the hardest for me. I felt like everything at the beginning was important. You can't be good at everything tho. As you grow, I learned it's important to conciously give up things constantly. If you don't, you won't scale & everything suffers."
20,20,998660819704463360,Thread 2,1526934268,3/ Your VCs won't want to offend you so I'll suggest it: get a CEO coach &amp; do a 360 review of yourself every few yeÃ¢?Â¦ https://t.co/JYBR0N0anB,110,726,9,https://t.co/JYBR0N0anB,"3/
Your VCs won't want to offend you so I'll suggest it: get a CEO coach & do a 360 review of yourself every few years. It was life changing for me. You can’t fix everything about yourself. Focus on 2-3 things each year. Tell your company you’re doing it. It'll build trust."
21,21,998660825429639168,Thread 2,1526934269,5/ Find a great mentor: Pick someone you want to impress. Find someone who will lift you up when you're down &amp; takeÃ¢?Â¦ https://t.co/ThrMDVIwCW,108,573,5,https://t.co/ThrMDVIwCW,"4/
Over time, you will feel like all you’re doing is spending time in meetings but not getting any real work done. You are though. Your job is now helping other people through the medium of meeting. Don't resist it, embrace it. Now's the time to design it to be fun & productive."
22,22,998660823110184960,Thread 2,1526934269,"4/ Over time, you will feel like all youÃ¢??re doing is spending time in meetings but not getting any real work done.Ã¢?Â¦ https://t.co/qnPhj3Ehim",97,612,4,https://t.co/qnPhj3Ehim,"5/
Find a great mentor: Pick someone you want to impress. Find someone who will lift you up when you're down & take you down a notch when you're over confident. Ideally, they've been a CEO/founder before so they can empathize. Remember though: they offer guidance, not a script."
23,23,998660828592156672,Thread 2,1526934270,6/ Live by the mantra: Ã¢??you should be building a team that can fulfill the mission without you.Ã¢?? You will be less sÃ¢?Â¦ https://t.co/42ogUutaA3,136,735,3,https://t.co/42ogUutaA3,"6/
Live by the mantra: “you should be building a team that can fulfill the mission without you.” You will be less stressed in the long-run. Keep empowering others. When you forget, try & ask yourself why you started this thing in the first place. Was it really about $$/power/ego?"
24,24,998660834237726720,Thread 2,1526934271,"8/ Don't avoid confrontation with tough, critical decisions--deal with it head-on. Avoiding confrontation, builds rÃ¢?Â¦ https://t.co/c0P0rN2XbZ",121,574,4,https://t.co/c0P0rN2XbZ,"7/
Power = responsibility. Being CEO will become lonely as you can't be as vulnerable & authentic as you'd like. Find other founders who will be real with you. Have dinners with them & share problems openly. I've been given hugs by them during tough times. It made the difference."
25,25,998660831360397314,Thread 2,1526934271,7/ Power = responsibility. Being CEO will become lonely as you can't be as vulnerable &amp; authentic as you'd like. FiÃ¢?Â¦ https://t.co/ala3aHRVQq,94,517,2,https://t.co/ala3aHRVQq,"8/
Don't avoid confrontation with tough, critical decisions--deal with it head-on. Avoiding confrontation, builds resentment over time, it slows the company down, & relationships eventually turn sour in a irrevocable way creating instability. Attack problems, not people though."
26,26,998660837513428992,Thread 2,1526934272,9/ You will royally screw it up with people in your company even if it wasn't your decision. They may even dislikeÃ¢?Â¦ https://t.co/XrZX3TEpo9,79,415,1,https://t.co/XrZX3TEpo9,"9/
You will royally screw it up with people in your company even if it wasn't your decision. They may even dislike *you* for a long time. The words “I am sorry. I screwed up.” are some of the most powerful words you can ever say to someone. It won’t always fix it though."
27,27,998660840688533510,Thread 2,1526934273,"10/ Your job will become 90% listening, 10% talking. I was bad at this &amp; had to work 2x as hard at not interruptingÃ¢?Â¦ https://t.co/l6mMj5las4",126,739,1,https://t.co/l6mMj5las4,"10/
Your job will become 90% listening, 10% talking. I was bad at this & had to work 2x as hard at not interrupting people. Best solution I found after 9.5 years was to write things down during a meeting. It made me focus on what they were saying & showed I was listening."
28,28,998660844006260736,Thread 2,1526934274,11/ Your intuition about customers/the market will get worse as the organization grows &amp; you become further estrangÃ¢?Â¦ https://t.co/6KqYyZ454b,74,474,3,https://t.co/6KqYyZ454b,"11/
Your intuition about customers/the market will get worse as the organization grows & you become further estranged from customers. Keep empowering others but hold them accountable. Spend time learning from them. Stick to the facts, not their opinions when making decisions."
29,29,998660846770245633,Thread 2,1526934274,12/ Discovering the truth becomes hard as you grow. It also becomes the most important thing you can do as you guidÃ¢?Â¦ https://t.co/OkNqvjRWVt,61,345,1,https://t.co/OkNqvjRWVt,"12/
Discovering the truth becomes hard as you grow. It also becomes the most important thing you can do as you guide the company. Make acquiring it & using it for decision a part of the culture somehow. I did this by constantly asking people what the actual facts were."
30,30,998660850134142976,Thread 2,1526934275,13/ Control your mood meeting-to-meeting. Sometimes you will have a bad/devastating meeting but try to remember thaÃ¢?Â¦ https://t.co/RXJ1eqdQLI,70,474,2,https://t.co/RXJ1eqdQLI,"13/
Control your mood meeting-to-meeting. Sometimes you will have a bad/devastating meeting but try to remember that the next set of people don’t have that context & may be excited/stressed to meet with you."
31,31,998660853057470464,Thread 2,1526934276,14/ WeÃ¢??re all human &amp; have our insecurities so consider a therapist to assist in helping with your personal psycholÃ¢?Â¦ https://t.co/B4cDghCE7C,70,383,4,https://t.co/B4cDghCE7C,"14/
We’re all human & have our insecurities so consider a therapist to assist in helping with your personal psychology. If you associate a stigma with it know that I did too. I was wrong & wished I had done this earlier in life. It will be invaluable if you tend to bring it home."
32,32,998660855825711104,Thread 2,1526934276,"15/ Finally, keep working hard to improve. You canÃ¢??t fix mistakes of the past but you can be better in the future.Ã¢?Â¦ https://t.co/WK3Ls5BhkL",122,629,19,https://t.co/WK3Ls5BhkL,"15/
Finally, keep working hard to improve. You can’t fix mistakes of the past but you can be better in the future. Don't give up: when you make hard decisions, you get to know which values/principles you truly stand for. That alone makes the journey worth it. ✊"
33,33,998748723000758272,Thread 2,1526955226,"If you haven't read it already, check out this thread of mine on fundraising too: https://t.co/v2U2QQC8kL",46,326,10,https://t.co/v2U2QQC8kL,"If you haven't read it already, check out this thread of mine on fundraising too:
https://twitter.com/suhail/status/996767927465529344?s=21"
34,34,999311515562868738,Thread 3,1527089406,"2/ Ã¢??PMs are mini CEOsÃ¢??: This is admittedly a catchy tagline. CEOs have direct management responsibilities, decisionÃ¢?Â¦ https://t.co/isi7lQfdom",24,246,108,https://t.co/isi7lQfdom,"1/
Product Management isn’t a major one can study, few folks graduate into, and most people learn by apprenticeship. There are number of dangerous myths about what the PM role is. Here is a thread with five…"
35,35,999311514556284928,Thread 3,1527089406,"1/ Product Management isnÃ¢??t a major one can study, few folks graduate into, and most people learn by apprenticeshipÃ¢?Â¦ https://t.co/9MBaiWczd9",1763,5439,7,https://t.co/9MBaiWczd9,"2/
“PMs are mini CEOs”: This is admittedly a catchy tagline. CEOs have direct management responsibilities, decision making authority, business-level objective ownership, and often founder-level credibility for the original vision."
36,36,999311516871442432,Thread 3,1527089406,"3/ In reality, PMs have none of these. ItÃ¢??s a pernicious trap, because the PMs who act as if they are mini CEO forÃ¢?Â¦ https://t.co/6lIPr8dRur",50,486,12,https://t.co/6lIPr8dRur,"3/
In reality, PMs have none of these. It’s a pernicious trap, because the PMs who act as if they are mini CEO for a feature are the most likely candidates for a team organ rejection. Teammates want product leaders, not dictators."
37,37,999311518163390465,Thread 3,1527089406,4/ Ã¢??PMs are the decision makersÃ¢??: Many people who convert from another role into product see it as way to get to Ã¢??mÃ¢?Â¦ https://t.co/6ibQWPuh7B,25,261,2,https://t.co/6ibQWPuh7B,"4/
“PMs are the decision makers”: Many people who convert from another role into product see it as way to get to “make the calls”. It’s a common pattern, especially for disempowered engineers on dysfunctional product development teams."
38,38,999311520235323393,Thread 3,1527089407,"6/ That does not, however, mean they should make even a small fraction of decisions themselves. They should be theÃ¢?Â¦ https://t.co/WU5vos6CVa",33,423,2,https://t.co/WU5vos6CVa,"5/
PMs are responsible for the pace and quality of decision making. Full stop."
39,39,999311519308333056,Thread 3,1527089407,5/ PMs are responsible for the pace and quality of decision making. Full stop.,64,475,3,,"6/
That does not, however, mean they should make even a small fraction of decisions themselves. They should be the ultimate facilitator: pull the best ideas from their team, coordinate with xfn partners, get exec context, etc."
40,40,999311521514598401,Thread 3,1527089407,"7/ They should lay out well-researched tradeoffs, time-box deliberation, and structure great discussions.",25,302,1,,"7/
They should lay out well-researched tradeoffs, time-box deliberation, and structure great discussions."
41,41,999311522600894465,Thread 3,1527089407,"8/ Only in rare situations should they actually Ã¢??make the callÃ¢??. When they do, it withdraws from their organizationÃ¢?Â¦ https://t.co/ImzX7CVZ9B",19,307,4,https://t.co/ImzX7CVZ9B,"8/
Only in rare situations should they actually “make the call”. When they do, it withdraws from their organizational capital account balance. That needs constant deposits as a counterbalance."
42,42,999311525906018304,Thread 3,1527089408,"11/ This has a two-fold downside: their team execution suffers without sufficient PM attention, and it stifles theÃ¢?Â¦ https://t.co/TvHANNW5nO",12,148,1,https://t.co/TvHANNW5nO,"9/
“PMs are the idea generators”: More than any other product dev role, PMs are judged nearly exclusively on the output of their team. Unlike eng or design, there are few independent artifacts to hang their hats on."
43,43,999311523674705920,Thread 3,1527089408,"9/ Ã¢??PMs are the idea generatorsÃ¢??: More than any other product dev role, PMs are judged nearly exclusively on the ouÃ¢?Â¦ https://t.co/FpzmLPaKsm",17,232,4,https://t.co/FpzmLPaKsm,"10/
The degenerate case is PMs who think their ultimate work product is new ideas. They churn out 10x more concepts than their team could ever build."
44,44,999311524740005888,Thread 3,1527089408,10/ The degenerate case is PMs who think their ultimate work product is new ideas. They churn out 10x more conceptsÃ¢?Â¦ https://t.co/7dveYmUyw1,20,247,1,https://t.co/7dveYmUyw1,"11/
This has a two-fold downside: their team execution suffers without sufficient PM attention, and it stifles the potential creativity from non-product teammates."
45,45,999311530368774147,Thread 3,1527089409,"15/ This requires developing deep domain knowledge, communicating compelling, and setting an inspirational strategy.",13,171,5,,"12/
PMs do need to immerse themselves in context and research to prime coming up with great product ideas. In an ideal world, that’s a constant team exercise the PM just happens to drive."
46,46,999311527017512960,Thread 3,1527089409,12/ PMs do need to immerse themselves in context and research to prime coming up with great product ideas. In an idÃ¢?Â¦ https://t.co/Ht99bYU9yb,23,190,3,https://t.co/Ht99bYU9yb,"13/
“PMs have to be great at company politics”: Unfortunately, at the largest companies this one is a bit true. But at companies in the thousands or smaller, that degree of politics only happens when shared alignment breaks down."
47,47,999311528070299648,Thread 3,1527089409,"13/ Ã¢??PMs have to be great at company politicsÃ¢??: Unfortunately, at the largest companies this one is a bit true. ButÃ¢?Â¦ https://t.co/1mzLGofUNe",16,186,2,https://t.co/1mzLGofUNe,"14/
Great PMs are an antidote to startup politics emerging. They keep disparate groups bought into a shared vision of where the company/product needs to head."
48,48,999311529198501888,Thread 3,1527089409,14/ Great PMs are an antidote to startup politics emerging. They keep disparate groups bought into a shared visionÃ¢?Â¦ https://t.co/l1dHcZB7f3,32,230,2,https://t.co/l1dHcZB7f3,"15/
This requires developing deep domain knowledge, communicating compelling, and setting an inspirational strategy."
49,49,999311533678051328,Thread 3,1527089410,"18/ PMs do need to have a deep curiosity about the underlying tech, humility about the details, ability to developÃ¢?Â¦ https://t.co/39OhHvMfPJ",46,415,7,https://t.co/39OhHvMfPJ,"16/
“PMs need technical degrees”: I believe this started with Google’s hiring of CS students directly into product, as a backlash of the MBA influx during the dot-com bubble. Though I was one of them, I disagree with the premise."
50,50,999311534982508544,Thread 3,1527089410,"19/ In summary, just a few dangerous PM myths to avoid: mini CEO, chief decision maker, primary idea generator, polÃ¢?Â¦ https://t.co/0twJ41tol7",148,853,4,https://t.co/0twJ41tol7,"17/
While a technical foundation is certainly useful for PMs, like every hiring heuristic applied unconditionally as a filter it produces far too many false negatives."
51,51,999311531446693888,Thread 3,1527089410,"16/ Ã¢??PMs need technical degreesÃ¢??: I believe this started with GoogleÃ¢??s hiring of CS students directly into product,Ã¢?Â¦ https://t.co/nqo8khWeHw",14,205,2,https://t.co/nqo8khWeHw,"18/
PMs do need to have a deep curiosity about the underlying tech, humility about the details, ability to develop strong partnerships with engineering, and a voracious learning appetite."
52,52,999311532616962048,Thread 3,1527089410,"17/ While a technical foundation is certainly useful for PMs, like every hiring heuristic applied unconditionally aÃ¢?Â¦ https://t.co/20aH6AtDwF",15,217,52,https://t.co/20aH6AtDwF,"19/
In summary, just a few dangerous PM myths to avoid: mini CEO, chief decision maker, primary idea generator, political savant, and tech degree required."
71,71,973963426140708864,Thread 5,1521045950,1) The boards are being shilled pretty hard today w people questioning #QanonPosts.  I'd like to interrupt your norÃ¢?Â¦ https://t.co/96IhKyyagP,32,47,7,https://t.co/96IhKyyagP,"1)
The boards are being shilled pretty hard today w people questioning
#QanonPosts
. I'd like to interrupt your normally scheduled programming with the following:
The
#swamp
is being drained. See the list of accomplishments below, corruption at this scale takes time.
#QAnon"
72,72,973963430079156224,Thread 5,1521045951,3) #ISIS is on it's last breath.  Why?  #Saudi purge?  Who else funds ISIS?  See how fast they disappeared once theÃ¢?Â¦ https://t.co/WY0kXKNKiJ,5,16,1,https://t.co/WY0kXKNKiJ,"2)
There was a massive roundup of
#Saudi
elites, including Al-Waleed bin Talal, notable for his endless meddling in
#US
affairs and membership in the
#cabal
. All were neutered.
#QAnon
#GreatAwakening
#DrainTheSwamp
#DrainTheDeepState"
73,73,973963427873001473,Thread 5,1521045951,"2) There was a massive roundup of #Saudi elites, including Al-Waleed bin Talal, notable for his endless meddling inÃ¢?Â¦ https://t.co/owqT2Yg0z2",7,19,1,https://t.co/owqT2Yg0z2,"3)
#ISIS
is on it's last breath. Why?
#Saudi
purge? Who else funds ISIS? See how fast they disappeared once their funding was cut? Imagine the intricate planning needed to cut those strings."
74,74,973963433652736001,Thread 5,1521045952,"5) Look at how many people in #Hollywood have been outed, and I don't mean the phony #metoo movement, I meanÃ¢?Â¦ https://t.co/lgSXzeNfvc",4,21,1,https://t.co/lgSXzeNfvc,"4)
#NorthKorea
suddenly wants to make deals & negotiate
#denuclearization
. Did this happen by accident? The same strings being cut with
#ISIS
were cut here, they are in survival mode,
#NorthKoreaTalks
are a total capitulation, we just need to let
#KimJongUn
save face.
#Qanon"
75,75,973963431727566849,Thread 5,1521045952,4) #NorthKorea suddenly wants to make deals &amp; negotiate #denuclearization.  Did this happen by accident?  The sameÃ¢?Â¦ https://t.co/hEjLlj7xWe,5,20,1,https://t.co/hEjLlj7xWe,"5)
Look at how many people in
#Hollywood
have been outed, and I don't mean the phony
#metoo
movement, I mean
#Weinstein
being outed 5 days after Hefner died. I expect the rest to be exposed soon enough. Major
#swamp
here."
76,76,973963435720499202,Thread 5,1521045953,6) Look at all the resignations from top corporate positions (more than 1000).  Definitely not a normal occurrence.Ã¢?Â¦ https://t.co/zYG23gOPvc,9,25,1,https://t.co/zYG23gOPvc,"6)
Look at all the resignations from top corporate positions (more than 1000). Definitely not a normal occurrence. Schmidt was the biggest scalp, and now Blankfein at
#GoldmanSachs
is leaving on the heels of
#GaryCohn
out of the
@POTUS
administration? Coincidence?
#qanon"
77,77,973963437591138304,Thread 5,1521045953,7) Have you ever seen so many people in #Congress either resign or not seek another term in office?  Big timeÃ¢?Â¦ https://t.co/t52CEGVcXF,11,28,1,https://t.co/t52CEGVcXF,"7)
Have you ever seen so many people in
#Congress
either resign or not seek another term in office? Big time
#DrainingTheSwamp
happening here.
#RINO
John McCain will be soon. Many are leaving quietly, don't be fooled by that.
#qanon"
78,78,973963439373783040,Thread 5,1521045953,"8) The veil is being lifted on the #MSM.  Every day we are more and more aware of how fake the news is, and how it'Ã¢?Â¦ https://t.co/MveCqQhg3C",7,21,1,https://t.co/MveCqQhg3C,"8)
The veil is being lifted on the
#MSM
. Every day we are more and more aware of how fake the news is, and how it's controlled.
#FakeNews
and the
#FakeNewsMedia
are dying. Proof? Ratings.
@POTUS
has been hammering them daily, and it's working. Disconnect from
#legacy
media."
79,79,973963441785450496,Thread 5,1521045954,9) Massive corruption at the #FBI and #DOJ is being exposed.  The #releasethememo moment was only the start.  TheÃ¢?Â¦ https://t.co/17fcGtK3QU,8,25,1,https://t.co/17fcGtK3QU,"9)
Massive corruption at the
#FBI
and
#DOJ
is being exposed. The
#releasethememo
moment was only the start. The
#OIGReport
is going to drop soon. Many of the evil doers are already named. Don't be fooled by the lack of indictment. The report is the key.
#qanon
#IG"
80,80,973963446239813633,Thread 5,1521045955,"11) #MS13 is finally a focus area.  We learned from the #Politico expose about how #Obama let Hezbollah run wild, aÃ¢?Â¦ https://t.co/55B4ZORWuM",14,23,1,https://t.co/55B4ZORWuM,"10)
Slowly traction is developing on an
#InternetBillOfRights
. The
#IBOR
is fundamental to free flow of information, so that it cannot be suppressed and people cannot be deliberately misinformed by mega corporations engaging in political activism.
#Qanon"
81,81,973963444243312641,Thread 5,1521045955,10) Slowly traction is developing on an #InternetBillOfRights.  The #IBOR is fundamental to free flow of informatioÃ¢?Â¦ https://t.co/YtLtYmnJus,12,25,2,https://t.co/YtLtYmnJus,"11)
#MS13
is finally a focus area. We learned from the
#Politico
expose about how
#Obama
let Hezbollah run wild, and got in cahoots with MS-13. More will come out, but we know a lot already.
politico.com/interactives/2…
#QanonPosts
#Qanon
#TheStorm"
82,82,973963447984640003,Thread 5,1521045956,12) #HumanTrafficking arrests are way up under @POTUS.  Thousands of kids have been rescued worldwide. https://t.co/H47DH2WPyZ,18,41,2,https://t.co/H47DH2WPyZ,"12)
#HumanTrafficking
arrests are way up under
@POTUS
. Thousands of kids have been rescued worldwide."
83,83,973963450320859136,Thread 5,1521045956,"13) Related to #HumanTrafficking and #ChildTrafficking, the @realDonaldTrump executive order seizing assets was sigÃ¢?Â¦ https://t.co/03V4wNZifc",11,19,2,https://t.co/03V4wNZifc,"13)
Related to
#HumanTrafficking
and
#ChildTrafficking
, the
@realDonaldTrump
executive order seizing assets was signed, and is currently in effect. While information on actual seizures is scarce, it stands to reason the order is being used.
whitehouse.gov/presidential-a…"
84,84,973963453961469952,Thread 5,1521045957,"15) Per #PACER searches, the number of sealed indictments have been increasing almost daily.  On average, there havÃ¢?Â¦ https://t.co/jYqaWMcp9W",8,20,2,https://t.co/jYqaWMcp9W,"14)
#Israeli
#PrimeMinister
#Netanyahu
is currently under investigation for
#CORRUPTION
, and it's anticipated his, and his cronies, connections to the
#Rothschild
family will come to light. Also, no coincidence that the embassy is being moved to Jerusalem.
#Qanon"
85,85,973963452086673408,Thread 5,1521045957,"14) #Israeli #PrimeMinister #Netanyahu is currently under investigation for #CORRUPTION, and it's anticipated his,Ã¢?Â¦ https://t.co/Gxsqop8DBO",6,14,1,https://t.co/Gxsqop8DBO,"15)
Per
#PACER
searches, the number of sealed indictments have been increasing almost daily. On average, there have historically been about 1 to 2 thousand sealed indictments at any moment, since
@POTUS
took office, that number has rocketed to 18,500! That's a massive number."
86,86,973963455735754754,Thread 5,1521045957,"16) The truth about #LasVegasShooting is starting emerge.  More will follow.

#Qanon

https://t.co/3S6emN8ayM",11,19,2,https://t.co/3S6emN8ayM,"16)
The truth about
#LasVegasShooting
is starting emerge. More will follow.
#Qanon
truepundit.com/fbi-insiders-b…"
87,87,973963457488932864,Thread 5,1521045958,"17) #DOJ and other agency investigations are now open into #FISAabuse, #ClintonFoundation, leaking, #FastAndFuriousÃ¢?Â¦ https://t.co/FfrA01yN8H",7,22,1,https://t.co/FfrA01yN8H,"17)
#DOJ
and other agency investigations are now open into
#FISAabuse
,
#ClintonFoundation
, leaking,
#FastAndFurious
, FBI corruption,
#AwanBrothers
,
#PlannedParenthood
, elections, the DOD audit, and many more."
88,88,973963463709069312,Thread 5,1521045959,18) Taking down corruption at this unprecedented level is an incredibly complex task.  Has @POTUS failed to live upÃ¢?Â¦ https://t.co/u0Jenfp2b6,9,27,6,https://t.co/u0Jenfp2b6,"18)
Taking down corruption at this unprecedented level is an incredibly complex task. Has
@POTUS
failed to live up to any of his campaign promises? Did he promise to
#DrainTheSwamp
? How much more evidence do you need? It's happening.
#qanon
#TheStormHasArrived
#TheStormHasCome"
89,89,948227465222279168,Thread 6,1514910019,[THREAD] Best podcast episodes on #Crypto #Blockchain #ICO #Token #Bitcoin economy in 2017 (ranked randomly) + bonuÃ¢?Â¦ https://t.co/7RqltzB1ov,97,337,4,https://t.co/7RqltzB1ov,"[THREAD] Best podcast episodes on
#Crypto
#Blockchain
#ICO
#Token
#Bitcoin
economy in 2017 (ranked randomly) + bonus: best overall podcast episode waiting at the end!"
90,90,948227467436838914,Thread 6,1514910020,1) The quiet master of cryptocurrency w/ @NickSzabo4 &amp; hosted by @tferriss: https://t.co/KgdrxybvZy,3,32,1,https://t.co/KgdrxybvZy,"1)
The quiet master of cryptocurrency w/
@NickSzabo4
& hosted by
@tferriss
:
overcast.fm/+KebvPT3c8"
91,91,948227470075072512,Thread 6,1514910020,2) Why crypto tokens matter w/ @cdixon &amp; @FEhrsam hosted by @a16z: https://t.co/OkDR24pf40,4,11,1,https://t.co/OkDR24pf40,"2)
Why crypto tokens matter w/
@cdixon
&
@FEhrsam
hosted by
@a16z
:
overcast.fm/+BlzGAkAKA"
92,92,948227474407780353,Thread 6,1514910021,4) Crypto hedge funds w/ @KyleSamani &amp; @multicoincap hosted by @ClayCollins: https://t.co/z191xZmXMQ,2,11,1,https://t.co/z191xZmXMQ,"3)
Bitcoin & Bitcoin Cash debate w/
@rogerkver
&
@lopp
hosted by
@ThomasEWoods
:
overcast.fm/+FUpGj0ghs"
93,93,948227472436400133,Thread 6,1514910021,3) Bitcoin &amp; Bitcoin Cash debate w/ @rogerkver &amp; @lopp hosted by @ThomasEWoods: https://t.co/7elZJzxte1,10,22,2,https://t.co/7elZJzxte1,"4)
Crypto hedge funds w/
@KyleSamani
&
@multicoincap
hosted by
@ClayCollins
:
overcast.fm/+LMX8DXTLY"
